,index,microbe,microbe_genus,patient
0,0,Escherichia coli,561,chrf_rna_0052_s52.csv
1,1,Streptococcus pneumoniae,1301,chrf_rna_0064_s64.csv
2,2,Streptococcus pneumoniae,1301,chrf_rna_0076_s76.csv
3,3,Elizabethkingia anophelis,308865,chrf_rna_0088_s88.csv
4,4,Enterobacter hormaechei,547,chrf_rna_0005_s5.csv
5,5,Citrobacter freundii,544,chrf_rna_0005_s5.csv
6,6,Bacteroides fragilis,816,chrf_rna_0017_s17.csv
7,7,Elizabethkingia anophelis,308865,chrf_rna_0029_s29.csv
8,8,Klebsiella pneumoniae,570,chrf_rna_0041_s41.csv
9,9,Aeromonas hydrophila,642,chrf_rna_0041_s41.csv
10,10,Pectobacterium carotovorum,122277,chrf_rna_0040_s40.csv
11,11,Primate tetraparvovirus 1,1511911,chrf_rna_0040_s40.csv
12,12,Zika virus,11051,chrf_rna_0004_s4.csv
13,13,TTV-like mini virus,687332,chrf_rna_0039_s39.csv
14,14,Human mastadenovirus C,10509,chrf_rna_0028_s28.csv
15,15,Neisseria meningitidis,482,chrf_rna_0063_s63.csv
16,16,Streptococcus pneumoniae,1301,chrf_rna_0050_s50.csv
17,17,Streptococcus pneumoniae,1301,chrf_rna_0087_s87.csv
18,18,Streptococcus pneumoniae,1301,chrf_rna_0075_s75.csv
19,19,Streptococcus pneumoniae,1301,chrf_rna_0037_s37.csv
20,20,Haemophilus influenzae,724,chrf_rna_0027_s27.csv
21,21,Streptococcus pneumoniae,1301,chrf_rna_0014_s14.csv
22,22,Streptococcus pneumoniae,1301,chrf_rna_0025_s25.csv
23,23,Streptococcus pneumoniae,1301,chrf_rna_0085_s85.csv
24,24,Streptococcus pneumoniae,1301,chrf_rna_0086_s86.csv
25,25,Streptococcus pneumoniae,1301,chrf_rna_0062_s62.csv
26,26,Streptococcus pneumoniae,1301,chrf_rna_0073_s73.csv
27,27,Streptococcus pneumoniae,1301,chrf_rna_0061_s61.csv
28,28,Streptococcus pneumoniae,1301,chrf_rna_0051_s51.csv
29,29,Streptococcus pneumoniae,1301,chrf_rna_0002_s2.csv
30,30,Streptococcus pneumoniae,1301,chrf_rna_0026_s26.csv
31,31,Primate tetraparvovirus 1,1511911,chrf_rna_0015_s15.csv
32,32,Haemophilus influenzae,724,chrf_rna_0015_s15.csv
33,33,Clover yellow mosaic virus,12176,chrf_rna_0016_s16.csv
34,34,Bacteroides fragilis,816,chrf_rna_0006_s6.csv
35,35,Kocuria turfanensis,57493,chrf_rna_0007_s7.csv
36,36,Deinococcus geothermalis,1298,chrf_rna_0007_s7.csv
37,37,White clover mosaic virus,12176,chrf_rna_0008_s8.csv
38,38,Murine leukemia virus,153135,chrf_rna_0008_s8.csv
39,39,Staphylococcus saprophyticus,1279,chrf_rna_0009_s9.csv
40,40,Corynebacterium timonense,1716,chrf_rna_0009_s9.csv
41,41,Salmonella enterica,590,chrf_rna_0018_s18.csv
42,42,Massilia sp. WG5,149698,chrf_rna_0019_s19.csv
43,43,Anoxybacillus flavithermus,150247,chrf_rna_0019_s19.csv
44,44,Brevundimonas diminuta,41275,chrf_rna_0020_s20.csv
45,45,Staphylococcus epidermidis,1279,chrf_rna_0021_s21.csv
46,46,Rotavirus A,10912,chrf_rna_0030_s30.csv
47,47,Streptomyces sp. 4F,1883,chrf_rna_0031_s31.csv
48,48,Primate tetraparvovirus 1,1511911,chrf_rna_0032_s32.csv
49,49,Bovine associated gemykrogvirus 1,1985367,chrf_rna_0042_s42.csv
50,50,Human herpesvirus 6,40272,chrf_rna_0044_s44.csv
51,51,Kocuria palustris,57493,chrf_rna_0053_s53.csv
52,52,Streptococcus pneumoniae,1301,chrf_rna_0053_s53.csv
53,53,Lactobacillus amylovorus,1578,chrf_rna_0054_s54.csv
54,54,Bradyrhizobium sp. CCGE-LA001,374,chrf_rna_0054_s54.csv
55,55,Streptomyces venezuelae,1883,chrf_rna_0054_s54.csv
56,56,Rhodococcus sp. B7740,1827,chrf_rna_0056_s56.csv
57,57,Acinetobacter junii,469,chrf_rna_0065_s65.csv
58,58,Rheinheimera sp. F8,67575,chrf_rna_0065_s65.csv
59,59,Pseudomonas mendocina,286,chrf_rna_0065_s65.csv
