,index,microbe,microbe_genus,patient
0,0,Corynebacterium urealyticum,1716,chrf_rna_0050_s50.csv
1,1,Actinomyces naeslundii,1654,chrf_rna_0038_s38.csv
2,2,Massilia putida,149698,chrf_rna_0004_s4.csv
3,3,Frondihabitans sp. PAMC 28766,447237,chrf_rna_0004_s4.csv
4,4,Rothia mucilaginosa,32207,chrf_rna_0004_s4.csv
5,5,Methylobacterium aquaticum,407,chrf_rna_0004_s4.csv
6,6,Sphingomonas taxi,13687,chrf_rna_0004_s4.csv
7,7,Modestobacter marinus,88138,chrf_rna_0004_s4.csv
8,8,Streptococcus thermophilus,1301,chrf_rna_0004_s4.csv
9,9,Curtobacterium sp. 9128,2034,chrf_rna_0004_s4.csv
10,10,Janthinobacterium agaricidamnosum,29580,chrf_rna_0004_s4.csv
11,11,Streptococcus pneumoniae,1301,chrf_rna_0074_s74.csv
12,12,Torque teno virus 12,687331,chrf_rna_0074_s74.csv
13,13,Escherichia coli,561,chrf_rna_0052_s52.csv
14,14,Torque teno mini virus 18,687332,chrf_rna_0052_s52.csv
15,15,Streptococcus sanguinis,1301,chrf_rna_0085_s85.csv
16,16,Burkholderia lata,32008,chrf_rna_0085_s85.csv
17,17,Rothia aeria,32207,chrf_rna_0085_s85.csv
18,18,Buchnera aphidicola,32199,chrf_rna_0085_s85.csv
19,19,Neisseria meningitidis,482,chrf_rna_0085_s85.csv
20,20,Actinomyces oris,1654,chrf_rna_0085_s85.csv
21,21,Staphylococcus capitis,1279,chrf_rna_0085_s85.csv
22,22,Haemophilus parainfluenzae,724,chrf_rna_0085_s85.csv
23,23,Streptococcus pneumoniae,1301,chrf_rna_0061_s61.csv
24,24,Enterobacter hormaechei,547,chrf_rna_0005_s5.csv
25,25,Betapapillomavirus 2,333922,chrf_rna_0005_s5.csv
26,26,Streptococcus pneumoniae,1301,chrf_rna_0002_s2.csv
27,27,Elizabethkingia anophelis,308865,chrf_rna_0088_s88.csv
28,28,Klebsiella pneumoniae,570,chrf_rna_0041_s41.csv
